Sprint,Module,Developer,BA,QA,Actual_Story_Points,Completed_Story_Points
Sprint 1,Authentication,Eve,BA3,QA1,36,17
Sprint 1,Billing,Charlie,BA3,QA3,39,14
Sprint 1,Payments,David,BA3,QA3,24,19
Sprint 1,Notifications,Frank,BA3,QA4,47,39
Sprint 1,Reports,Charlie,BA3,QA5,22,18
Sprint 1,Dashboard,Frank,BA3,QA3,27,26
Sprint 1,Overall Team Velocity,N/A,N/A,N/A,N/A,133
Sprint 2,Authentication,Charlie,BA3,QA4,15,13
Sprint 2,Billing,Alice,BA3,QA3,38,35
Sprint 2,Payments,Frank,BA1,QA4,19,18
Sprint 2,Notifications,David,BA2,QA5,51,22
Sprint 2,Reports,Alice,BA3,QA3,59,55
Sprint 2,Dashboard,Charlie,BA1,QA4,31,31
Sprint 2,Overall Team Velocity,N/A,N/A,N/A,N/A,174
Sprint 3,Authentication,David,BA1,QA4,37,28
Sprint 3,Billing,Charlie,BA3,QA4,53,27
Sprint 3,Payments,David,BA1,QA2,45,39
Sprint 3,Notifications,David,BA2,QA4,31,30
Sprint 3,Reports,Alice,BA2,QA2,49,33
Sprint 3,Dashboard,Eve,BA1,QA1,54,48
Sprint 3,Overall Team Velocity,N/A,N/A,N/A,N/A,205
Sprint 4,Authentication,Eve,BA3,QA5,30,10
Sprint 4,Billing,Bob,BA3,QA2,29,25
Sprint 4,Payments,Charlie,BA3,QA5,21,19
Sprint 4,Notifications,Eve,BA3,QA1,41,28
Sprint 4,Reports,Frank,BA3,QA1,54,20
Sprint 4,Dashboard,Eve,BA1,QA2,49,36
Sprint 4,Overall Team Velocity,N/A,N/A,N/A,N/A,138
Sprint 5,Authentication,Charlie,BA3,QA1,19,11
Sprint 5,Billing,Alice,BA1,QA3,15,13
Sprint 5,Payments,Eve,BA3,QA3,43,14
Sprint 5,Notifications,Frank,BA3,QA2,45,22
Sprint 5,Reports,Bob,BA1,QA1,15,15
Sprint 5,Dashboard,Eve,BA1,QA1,38,30
Sprint 5,Overall Team Velocity,N/A,N/A,N/A,N/A,105
Sprint 6,Authentication,Frank,BA1,QA2,60,56
Sprint 6,Billing,Bob,BA1,QA2,60,48
Sprint 6,Payments,Charlie,BA1,QA3,58,54
Sprint 6,Notifications,Charlie,BA3,QA5,57,49
Sprint 6,Reports,Frank,BA1,QA1,51,27
Sprint 6,Dashboard,Alice,BA1,QA4,35,28
Sprint 6,Overall Team Velocity,N/A,N/A,N/A,N/A,262
Sprint 7,Authentication,Alice,BA1,QA2,53,29
Sprint 7,Billing,Frank,BA3,QA2,54,40
Sprint 7,Payments,Bob,BA1,QA2,52,11
Sprint 7,Notifications,Bob,BA3,QA3,44,13
Sprint 7,Reports,Bob,BA3,QA3,35,16
Sprint 7,Dashboard,Charlie,BA2,QA5,47,39
Sprint 7,Overall Team Velocity,N/A,N/A,N/A,N/A,148
Sprint 8,Authentication,David,BA2,QA5,46,24
Sprint 8,Billing,David,BA3,QA2,27,11
Sprint 8,Payments,Bob,BA2,QA4,18,10
Sprint 8,Notifications,Charlie,BA1,QA2,36,34
Sprint 8,Reports,Frank,BA3,QA3,18,10
Sprint 8,Dashboard,David,BA1,QA5,16,12
Sprint 8,Overall Team Velocity,N/A,N/A,N/A,N/A,101
Sprint 9,Authentication,David,BA1,QA5,37,23
Sprint 9,Billing,Eve,BA1,QA5,36,18
Sprint 9,Payments,Charlie,BA3,QA5,57,30
Sprint 9,Notifications,Alice,BA1,QA1,56,23
Sprint 9,Reports,Frank,BA1,QA2,52,22
Sprint 9,Dashboard,Bob,BA1,QA4,39,39
Sprint 9,Overall Team Velocity,N/A,N/A,N/A,N/A,155
Sprint 10,Authentication,Alice,BA1,QA1,32,20
Sprint 10,Billing,Alice,BA2,QA3,33,17
Sprint 10,Payments,Eve,BA2,QA2,57,37
Sprint 10,Notifications,Eve,BA3,QA3,36,16
Sprint 10,Reports,Bob,BA1,QA4,23,12
Sprint 10,Dashboard,Charlie,BA1,QA3,15,10
Sprint 10,Overall Team Velocity,N/A,N/A,N/A,N/A,112
Sprint 11,Authentication,Alice,BA2,QA4,56,10
Sprint 11,Billing,Alice,BA1,QA1,17,12
Sprint 11,Payments,Alice,BA3,QA2,19,11
Sprint 11,Notifications,Frank,BA3,QA2,27,24
Sprint 11,Reports,Eve,BA1,QA4,38,10
Sprint 11,Dashboard,Alice,BA2,QA5,55,45
Sprint 11,Overall Team Velocity,N/A,N/A,N/A,N/A,112
Sprint 12,Authentication,Frank,BA2,QA5,23,18
Sprint 12,Billing,Eve,BA1,QA1,58,24
Sprint 12,Payments,Frank,BA3,QA5,47,47
Sprint 12,Notifications,Alice,BA1,QA5,47,30
Sprint 12,Reports,Eve,BA1,QA3,51,45
Sprint 12,Dashboard,Bob,BA2,QA4,17,12
Sprint 12,Overall Team Velocity,N/A,N/A,N/A,N/A,176
Sprint 13,Authentication,Eve,BA3,QA2,33,11
Sprint 13,Billing,Alice,BA1,QA3,15,14
Sprint 13,Payments,Alice,BA2,QA1,59,44
Sprint 13,Notifications,Alice,BA3,QA5,15,10
Sprint 13,Reports,Eve,BA3,QA1,44,15
Sprint 13,Dashboard,Alice,BA3,QA4,26,12
Sprint 13,Overall Team Velocity,N/A,N/A,N/A,N/A,106
Sprint 14,Authentication,Charlie,BA2,QA4,53,48
Sprint 14,Billing,Frank,BA1,QA1,23,13
Sprint 14,Payments,Bob,BA2,QA3,50,42
Sprint 14,Notifications,Eve,BA3,QA3,19,10
Sprint 14,Reports,Alice,BA1,QA5,52,44
Sprint 14,Dashboard,Eve,BA3,QA5,52,35
Sprint 14,Overall Team Velocity,N/A,N/A,N/A,N/A,192
Sprint 15,Authentication,Bob,BA1,QA1,38,36
Sprint 15,Billing,Eve,BA1,QA3,17,12
Sprint 15,Payments,David,BA1,QA5,48,22
Sprint 15,Notifications,Charlie,BA1,QA3,39,30
Sprint 15,Reports,Charlie,BA3,QA1,45,39
Sprint 15,Dashboard,Alice,BA2,QA2,39,22
Sprint 15,Overall Team Velocity,N/A,N/A,N/A,N/A,161
Sprint 16,Authentication,Eve,BA1,QA4,30,17
Sprint 16,Billing,Alice,BA1,QA3,17,16
Sprint 16,Payments,Frank,BA3,QA4,58,24
Sprint 16,Notifications,David,BA3,QA2,53,18
Sprint 16,Reports,Bob,BA1,QA1,49,24
Sprint 16,Dashboard,Bob,BA3,QA4,36,27
Sprint 16,Overall Team Velocity,N/A,N/A,N/A,N/A,126
Sprint 17,Authentication,Alice,BA2,QA1,39,23
Sprint 17,Billing,David,BA2,QA5,47,41
Sprint 17,Payments,Frank,BA3,QA2,17,15
Sprint 17,Notifications,David,BA1,QA2,36,31
Sprint 17,Reports,Frank,BA3,QA2,34,34
Sprint 17,Dashboard,Charlie,BA1,QA1,45,37
Sprint 17,Overall Team Velocity,N/A,N/A,N/A,N/A,181
Sprint 18,Authentication,Charlie,BA3,QA3,28,28
Sprint 18,Billing,Frank,BA2,QA1,28,26
Sprint 18,Payments,Alice,BA2,QA3,50,35
Sprint 18,Notifications,Bob,BA3,QA4,41,16
Sprint 18,Reports,Frank,BA3,QA3,30,21
Sprint 18,Dashboard,David,BA1,QA1,56,38
